14963
a	a.一,一个,一只,一件.
abacus	n.算盘
abandon	v.放弃,遗弃,沉溺
abatement	n.减少,减轻,缓和
abbreviate	v.缩写,使...简略
abbreviation	n.缩写
abc	n.基本要素,字母表abbr.美国广播公司abbr.澳大利亚广播公司
abdomen	n.腹部
abdominal	a.腹部的
abend	异常结束
abide	v.遵守,忍受,居留
ability	n.才能,能力
able	a.能干的,有能力的
abnormal	a.反常的,不正常的,不规则的
aboard	ad.在船上,在火车上,在飞机上prep.在...之上
abolish	v.废止,革除
aboriginal	a.原始的,土著的
abort	v.流产,打胎,堕胎
abortion	n.流产,堕胎
abound	v.富于,充满
about	a.准备ad.大约prep.关于
above	a.上面的ad.在上面n.上面prep.在...上面
aboveboard	ad.光明正大地,率直地a.光明正大的,率直的
abrasion	n.磨减,磨损,磨损之处
abrasive	n.研磨剂a.磨平的
abridge	v.删节,缩短
abridgement	节略,缩写
abroad	a.在国外,海外(一般作表语)ad.到国外,在国外
abrupt	a.突然的,唐突的
abruption	中断,分离
abscess	n.脓疮,溃疡
absence	a.不在,缺席n.缺乏,缺少,缺席
absent	a.缺席的vt.使缺席
absentminded	a.心不在焉的,茫然的,恍惚的
absolute	a.绝对的,完全的n.绝对
absolutely	ad.绝对地,完全地;独立地;确实地
absorb	v.吸收,吸引...的注意,使全神贯注
absorption	n.吸收
abstract	n.摘要a.抽象的v.摘要,抽炼
absurd	a.荒唐的
abundance	n.丰富,充裕
abundant	a.丰富的,充裕的
abuse	n.滥用,恶习v.滥用,辱骂,虐待
academic	a.学院的,理论的,学术性的
academy	n.学院,学术,学会
accelerate	v.加速
acceleration	n.加速,促进,加速度
accelerator	n.加速者,加速器,油门
accent	n.重音,口音v.重读,强调
accentuate	v.以重音念,强调,重读
accept	vt.接受,同意,承担(责任等)
acceptable	a.合意的,受欢迎的,可接受的
acceptance	n.接受,容纳,承诺,验证
access	n.通路,进入,使用之权v.存取
accessible	a.可得到的,易接近的,可进入的
accessory	a.附属的(副的,辅助的)n.附件
accident	n.事故,意外的事
accidental	a.意外的,偶然的
accidentally	ad.偶然地,意外地
acclaim	n.喝采,欢呼,赞同v.欢呼,喝采,称赞
accommodate	v.使适应,调节,和解
accommodation	n.住处,膳宿名适应;和解;
accompany	v.陪伴,带有
accomplish	v.完成
accomplishment	n.成就
accord	n.一致,调和,协议，自愿vi.(与)一致
accordance	n.符合,一致
according	ad.根据,按照
accordingly	ad.因此,于是,如前所说照着相应地
account	n.帐目,报告,估计v.叙述,解释n.利益,好处
accountant	n.会计
accounting	n.会计
accumulate	v.积聚,堆积
accumulation	n.积聚,累积,积聚物
accumulator	累加器
accuracy	n.准确(性),精确度
accurate	a.准确的,精确的
accurately	a.准确地ad.精确地,准确地
accusation	n.控告,指控,非难
accuse	v.责备,控告
accuser	n.原告,控诉者,非难者
accustom	v.使...习惯
accustomed	a.习惯了的
ache	n.痛v.痛,渴望
achieve	v.完成,达到,实现
achievement	n.成就,成绩,完成,达到
acid	a.酸的n.酸
acidity	n.酸性,酸度
acknowledge	v.承认,答谢,告知收到,确认,报偿
acoustic	a.美声的，听觉的,音感教育,音响学的
acoustics	n.音响学,音响效果,声学
acquaint	v.使...熟知
acquaintance	n.熟人,相识
acquire	v.获得,取得,学到
acquisition	n.获得,所获之物
acre	n.英亩
acrobat	n.杂技演员
acronym	n.缩写字,字头语
across	ad.横过prep.穿过,横过
act	n.行为,行动,法案v.行动,扮演,下判决
acth	[缩]肾上腺皮质激素
action	n.行动,情节,表现,战斗
activate	v.刺激,使...活动,创设
activated	激活的
activation	n.激活
active	a.积极的,主动的
activist	n.活动分子,积极分子
activity	n.活动
actor	n.男演员
actress	n.女演员
actual	a.实际的,真实的
actually	ad.实际上
actuals	n.现货
actuator	执行器
acupressure	n.针压法
acupuncture	n.针灸,针治v.施以针灸
acute	a.敏锐的,激烈的,尖锐的
ad	abbr.(advertisement的缩写)广告n.(缩)广告
adapt	v.使...适应,改编
adaptability	n.适应性
adaptation	n.改编,适应,改编成的作品
adapter	适配器
adaptive	a.适合的,适应的,能适应的
add	v.增加
addend	加数
adder	n.欧洲产的小毒蛇,北美产的无毒小蛇,加算器
addict	v.使...耽溺,使...上瘾n.耽溺者,上瘾者
addiction	n.耽溺,上瘾
addition	n.增加,附加物,加,加法
additional	a.附加的,另外的
additionally	ad.另外(加之,又)
additive	n.附加物(加法)a.加添的
address	n.住址n.致词,讲话vt.发表演说，写地址，（图书、文章等）讨论（某主题）
addressable	可寻址的
addressee	被访地址
addressing	寻址,访问
adenosine	n.腺苷,腺嘌呤核苷
adept	a.熟练的,老练的n.名手,专家
adequate	a.足够的,充足的,适当的,能胜任的
adhere	v.附～,粘～
adjacency	邻近,邻接
adjacent	a.毗连的,邻近的,接近的
adjective	n.形容词a.形容词的,似形容词的
adjoin	v.邻接,毗连,邻接
adjust	v.调整,使...适于
adjustment	n.调整
administer	v.管理,治理,执行
administrate	v.给予,投(药),经营,实施,掌管,料理
administration	n.行政,管理,中央政府
administrative	a.行政的,管理的
administrator	n.管理人,行政官
admiration	n.钦佩,赞赏
admire	v.钦佩,羡慕,赞赏
admission	n.许可,入会费,承认
admit	v.允许进入,承认
adobe	n.泥砖,土坯美国Adobe公司
adolescence	n.青春期
adolescent	a.青春期的,青少年的n.青少年
adopt	v.采用,收养,接受
adoption	n.采用,采纳,收养
adore	v.崇拜,爱慕,喜爱
adrenal	a.肾上腺的n.肾上腺
adrenalin	n.肾上腺素
adult	a.成年的,成熟的n.成年人
adulteration	n.搀杂,搀假的东西,冒充货
advance	n.前进,进步,预支v.前进,增加,上涨
advanced	a.高级的,先进的
advantage	n.优势,有利条件
advantageous	a.有利的
advent	n.出现,到来
adventure	n.冒险,奇遇v.大胆进行
adverb	a.副词的n.副词
adverse	a.不利的
advertise	vi.登广告v.为...做广告
advertisement	n.&ad.广告
advice	n.忠告,劝告
advisable	a.明智的,可取的
advise	v.劝告,通知,与...商量
adviser	n.顾问,指导教授,劝告者
advisory	a.劝告的,顾问的,谘询的
advocate	n.提倡者,拥护者v.主张,提倡
aerial	a.空中的,航空的,空想的
aeroplane	n.飞机
aerospace	n.航空宇宙
aesthetic	a.美学的,审美的,有美感
affair	n.事件,事情,事务
affect	v.影响,作用,感动
affected	vbl.影响
affection	n.慈爱,爱,感情,作用,影响
affiliate	n.联号(联播台,同伙),附属机构,分公司vt合并(使...加入,追源)
affirm	v.断言,肯定
affirmative	a.肯定的,正面的n.肯定语,赞成方面
affix	v.使...附于,署名,粘贴
afflict	v.使苦恼,折磨
affluent	a.富裕的n.支流
afford	v.提供,供应得起,给予
afraid	a.害怕的,担心的
africa	n.非洲
african	a.非洲的,非洲人的n.非洲人
after	a.以后的ad.以后,后来conj.在...以后prep.在...之后
afternoon	n.下午
afterward	ad.后来,以后
afterwards	ad.以后,后来
again	ad.又,再
against	prep.反对,靠,倚
age	n.年龄v.(使)变老vi.变老
aged	a.年老的
agency	n.代理,代理处
agenda	n.议事日程
agent	n.代理人,代理商,特工人员
aggravate	v.使...恶化,使...更严重
aggregate	n.合计,总计,集合体a.合计的,集合的,聚合的v.聚集,集合,合计
aggression	n.进攻,侵犯,侵害,侵略
aggressive	a.侵犯的,攻击性的,有进取心的
aging	n.老化(时效,迟滞)
agitate	v.使...摇动,骚动
agitation	n.激动,兴奋,煽动
ago	ad.以前
agony	n.(极度的)痛苦,创痛
agree	v.同意,赞成,承认
agreeable	a.愉快的,和蔼可亲的
agreement	n.同意,一致,协议
agricultural	a.农业的
agriculture	n.农业
ahead	ad.向前地,胜于,在...前面
aid	n.帮助,有帮助的事物v.援助,帮助
ailment	n.小病,疾病
aim	n.目标,对准v.对准目标,打算
air	n.空气,旋律v.晾干,使通风
airbrush	喷枪
aircraft	n.飞机
airfield	n.飞机场
airflow	气流
airing	n.讨论,通风
airline	a.(飞机)航线的n.(飞机的)航线,航空公司
airliner	n.定期班机,客机
airmail	n.航空邮件
airplane	n.飞机
airport	n.机场
aisle	n.(席位间的)通道
alarm	n.警报,惊慌,警告,报警器v.使...惊慌,警告
album	n.集邮本,照相簿,唱片簿
alcohol	n.酒精
alcoholic	n.酒鬼,酒精中毒的人a.酒精性的
aldehyde	n.醛,乙醛
aldosterone	n.醛固酮
alert	a.警觉的,灵敏的,留心的
alga	n.海藻
algebraic	代数的
algorithm	算法
alias	n.别名,化名ad.别名,化名
alien	n.外侨;外星人a.外国的,相异的
alienate	v.使...疏远,离间,让与
alienation	n.疏远,离间,割让
alienator	n.转让人,让渡人
alienee	n.受让人
align	v.排列,调整,定中心,校直,使结盟,使成一行
aligned	对齐的,均衡的
alignment	n.调整(成直线,准线,定向,直线性,结盟)
alike	a.相似的,同样的ad.一样,以同样的方式
alimentary	a.食物的,滋养的
alive	a.活着的
alkalinity	n.碱浓度,碱性
all	a.所有的,全部的ad.全部,全然int.全部,全体,一切
allegation	n.断言,主张,辩解
allege	v.断言,宣称
alleged	a.被说成的,被指称的
allegiance	n.忠诚
allergic	a.过敏的
allergy	n.敏感症,反感,厌恶
alleviate	v.减轻,使...缓和
alley	n.小路,巷
alliance	n.结盟,联盟,联姻
allied	a.联合的,同盟的
allocate	v.分派,分配,分配额
allocation	n.配置,分配,安置
allocator	分配算符
allot	v.分配,分摊
allow	v.允许,准许vi.(for)考虑到vt.允许
allowable	容许的,承认的
allowance	n.限额，定量n.津贴,零用钱
allowed	容许的
alloy	n.合金v.使...成合金,搀以劣质,减低成色
ally	n.盟友,同盟国v.联盟,联合,与...有关系
almost	ad.几乎,差不多
alms	n.捐献,救济金,救济品
alone	a.单独的,仅仅ad.单独地
along	ad.向前prep.沿着
alongside	ad.在旁边prep.在...旁边
aloud	ad.出声地,大声地
alpha	n.希腊字母的第一个字母,最初,开端
alphabet	n.字母表
alphabetic	a.照字母次序的,字母的
alphabetical	a.按字母表顺序的
alphabetically	按字母表顺序地
alphanumeric	字母数字的
already	ad.已经
also	ad.也
alter	v.改变
alteration	n.改变,变更
alternate	a.交替的,轮流的v.交替,轮流
alternately	ad.交替地,隔一个地
alternative	a.两者择一的n.替换物,取舍v.两者取一
alternatively	ad.二者择一地,做为选择
although	conj.尽管,虽然
altitude	n.高度,海拔
altogether	ad.总共
aluminium	n.铝
aluminum	n.铝
alveolus	n.肺泡
always	ad.总是
am	a.是的v.是
amass	v.收集,积聚
amateur	a.业余的n.业余爱好者
amaze	v.使吃惊
amazing	a.令人惊异的
ambassador	n.大使
ambiguity	n.不明确,含糊,暧昧,模棱两可
ambiguous	a.模棱两可的
ambition	n.雄心,野心vt.有...野心,追求
ambitious	a.热望的,有雄心的,有抱负的
ambulance	n.救护车
amenable	a.应服从的,会接纳的,肯服从的
amend	v.修正,改善,改良
amendment	n.改善,改良,改正修正案
amends	n.赔偿
america	n.美国,美洲
american	a.美国的n.美国人
amerindian	n.美洲印第安人
amiable	a.和蔼的,亲切的
amid	prep.在其间,在其中
amidst	prep.在...当中
ammonia	n.氨水,阿摩尼亚
